index,value
1929,3769.9
1930,3559
1931,3272.4
1932,2944.5
1933,3094
1934,3423.8
1935,3557.7
1936,3859.9
1937,3970.1
1938,3832.2
1939,3963.3
1940,4143.7
1941,4578.5
1942,5021.9
1943,5599.5
1944,5722.1
1945,5554.8
1946,4964.3
1947,4993.6
1948,5133.2
1949,5035.8
1950,5242.4
1951,5641.5
1952,5770.2
1953,5891.8
1954,5738.7
1955,5908
1956,6084.5
1957,6130.8
1958,5983.9
1959,6158.7
1960,6268
1961,6288.1
1962,6457.3
1963,6561.9
1964,6727.5
1965,6969.2
1966,7351.6
1967,7544.2
1968,7760.2
1969,7985
1970,7975
1971,7955.4
1972,8158.3
1973,8520.2
1974,8657.3
1975,8504.4
1976,8740.2
1977,9042.1
1978,9477.7
1979,9801.7
1980,9837
1981,9922.5
1982,9730.5
1983,9804.1
1984,10245.8
1985,10498.7
1986,10687.3
1987,10975.4
1988,11286.4
1989,11550.1
1990,11696.4
1991,11552.5
1992,11596.8
1993,11760.4
1994,12037.9
1995,12323.6
1996,12546.1
1997,12831.6
1998,13156.3
1999,13435
2000,13722.8
2001,13689
2002,13593.7
2003,13560.2
2004,13706.7
2005,13900.6
2006,14144
2007,14292.8
2008,14200
2009,13617
