"","Series","insample_n","period","sMAPE.Naive2","sMAPE.Comb","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","MASE.Naive2","MASE.Comb","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA"
"1","Q22044",126,4,0.0560918515525662,0.0118564139461572,0.0184394310302773,0.0194158614846664,0.0189277987903789,1.86044523149141,0.402771881108249,0.637429639837152,0.671160371895752,0.654295005866451
"2","M41166",163,3,0.0197341424684463,0.0193473993585291,0.0197341424684463,0.019412136055951,0.0195730915530365,0.183335653684692,0.179762211975805,0.183335653684692,0.180347509839451,0.181841581762071
"3","M46220",237,3,0.0437685349320094,0.0337705821459649,0.020427064283588,0.0514477299821877,0.0357842351994013,0.554928839373372,0.430657874299773,0.262790580490007,0.649317476219608,0.456054028354807
"4","M40806",198,3,0.240638941073083,0.218708118313942,0.216797489896931,0.222261806689964,0.219526262520322,1.47476584965358,1.35828415268265,1.35025884302062,1.37923692507079,1.3647478840457
"5","Y18412",29,6,0.0440398319797022,0.137612265694055,0.195493007571326,0.186033783819726,0.190778301516686,1.34454106280193,4.66402061854809,6.9074528836893,6.53093476171571,6.7191938227025
"6","M42811",83,3,0.293457667166482,0.302002278331329,0.346883562443331,0.307702401048798,0.326783385082534,0.798666156009287,0.821211204636013,0.933132217748823,0.835690224341418,0.884411221045121
"7","M37001",340,3,0.0493037977558327,0.0222509273949807,0.0142812969560526,0.0325540292629606,0.0234719271353519,0.812153549639494,0.380865215637417,0.240636409336505,0.555804541470217,0.39822047540336
"8","Y17645",21,6,0.172594651044286,0.0833641942590408,0.0303972636700017,0.0426962085961496,0.0365238892264774,5.67429332364869,2.87198186301424,1.06574840490879,1.4958376842646,1.28079304458669
"9","Y18678",45,6,0.0950593900504632,0.079809544360527,0.0808287952833521,0.0807418371826416,0.0807859044942875,3.29767050125773,2.79515414281393,2.84622378239366,2.84068943812992,2.84345661026179
"10","M38595",439,3,0.0890754760379861,0.1041231542292,0.0988004606141381,0.126318798928611,0.112422908468694,1.19916481098689,1.38841654209313,1.3216091753505,1.65880567219535,1.49020742377293
"11","M43019",82,3,0.259608195659117,0.173496229826483,0.169213769422317,0.165287439606334,0.165369945070307,2.03600189780575,1.41758934117319,1.38060832453665,1.35264944173062,1.3518847746661
