"","Series","insample_n","period","sMAPE.Naive2","sMAPE.Comb","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","MASE.Naive2","MASE.Comb","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA"
"1","Q10025",37,4,0.0548365289162826,0.0149322618268424,0.0159613560130178,0.01595410012341,0.0159577280365137,0.943925668253026,0.265052203492833,0.278580316227054,0.278467958547851,0.278524137387453
"2","M14673",78,3,0.368686910145201,0.350767267205187,0.468903127400806,0.368686910744044,0.417622302386263,2.68408816470861,2.57707801647267,3.24715105198653,2.68408816819321,2.96561961008987
"3","M19847",69,3,0.456716315744258,0.348910505772887,0.198393025114554,0.213711573162427,0.206430834690486,0.97520184544406,0.691560833082243,0.367057293585382,0.388304786025759,0.376786741404004
"4","M14303",280,3,0.328981095602819,0.213732998021181,0.192695506111446,0.197302604280055,0.182983128009747,1.87466996947596,1.31777782361551,1.24027009836398,1.22582009256591,1.17596747028644
"5","Y7009",40,6,0.275665505180631,0.226921194991663,0.235629692173892,0.204240362858833,0.219780200983387,8.10226300060569,6.84672576529985,7.07704884654182,6.23642045025453,6.65673464839818
"6","M16357",317,3,0.0227934771088266,0.0243763508700216,0.0231996653554878,0.0264969159768018,0.0242746574233949,0.245291314406223,0.261957147499439,0.249670573981763,0.284233884712174,0.260992317777737
"7","M10407",340,3,0.0440028048401852,0.0430616546923839,0.0561442752220694,0.0473828952246516,0.0424504757495688,0.370465572685322,0.361575873983054,0.501046693702288,0.3927862571165,0.364327991661489
"8","Y6223",40,6,0.111897940937536,0.01901859570129,0.0360203330047165,0.0249132989324527,0.0294701513568776,4.83796885670205,0.861265316282732,1.71685392520531,1.16584014005004,1.39433075905371
"9","Y7281",40,6,0.0748295410166761,0.0420270894009644,0.105680481093009,0.077224392131045,0.09158136867159,3.20636137642463,1.89387322411393,4.98919667771021,3.57286986079343,4.28103326925182
"10","M12040",282,3,0.0250079913517903,0.0219906796071362,0.0031778881679832,0.0229235915130267,0.0102996234172939,0.936493792436277,0.824784965059193,0.120849427174764,0.858995654936872,0.388637541363405
"11","M16570",69,3,0.589078315811575,0.580253384094049,0.526727460503546,0.548622823694505,0.536297116249441,0.288052438975349,0.282648238117616,0.238140973552628,0.255275807209993,0.245724835129593
"12","Q7707",99,4,0.0798745608464993,0.0178292347884217,0.0764720494476066,0.0290718222585987,0.0505142999235911,2.46689690319234,0.55893120439044,2.44008627531158,0.866932678107787,1.57120711696985
"13","M12488",306,3,0.00629177058974715,0.00441983981801267,0.00444115654495825,0.00440287489788859,0.00442199062839157,0.293228832642945,0.206506395261562,0.207882403232604,0.206086720851,0.206984315891404
"14","Q9470",106,4,0.111925319241618,0.0967318148666994,0.0889112261460423,0.0755160468681668,0.0821757745737804,1.58861401342594,1.38312497231802,1.27568819927089,1.08840536150175,1.18204678038632
"15","Q6054",67,4,0.0451889830629279,0.023650435511763,0.0130317696092449,0.0238604339303819,0.0178956287849758,1.12376995032539,0.594047209164634,0.327401214304075,0.599566376321817,0.450205111629458
"16","M14571",399,3,0.0482007050719271,0.0476402209364823,0.0149599472901117,0.0325345472426429,0.0189435682348848,1.97922099397155,1.92467961209011,0.543442176242765,1.19122430805916,0.699239040166174
"17","Y6592",40,6,0.0752822641981473,0.0169600230727683,0.0303596901619713,0.0328790505036034,0.0316204518249338,3.25929301454255,0.74522268979343,1.35584208896999,1.47402104193192,1.41493156545095
"18","Q10149",106,4,0.023181267438458,0.0411528173254247,0.0598139370007115,0.07075359147719,0.0653048207347655,0.423043725301705,0.764117403109344,1.12696965429839,1.34454682748771,1.23575824089305
"19","Q10856",66,4,0.656377935418831,0.73096975174159,0.99150991569314,0.830291830006328,0.917218796947003,1.80378620216582,2.15135857350163,3.76338141258214,2.68558654999994,3.22448398129104
"20","M10452",79,3,0.0375038934997847,0.0517497777039993,0.0391181145971314,0.0390549959980344,0.0390865548091175,2.8914057704113,3.95883380582542,3.01325208130533,3.0084913221254,3.01087170171536
"21","Y9609",26,6,0.185137465322342,0.124248892353876,0.185137465322342,0.139827374150824,0.162918329785668,1.45202307966968,0.942109510219833,1.45202307966968,1.0716874928604,1.26185528626504
"22","Y5704",40,6,0.0939740096685603,0.0475871281970517,0.0703713874089278,0.068535686141061,0.0694575730600083,4.26482213438735,2.12812932013975,3.23110906601691,3.15728457102681,3.19419681852186
"23","Q6532",67,4,0.0357997491372832,0.0154100831928237,0.0084651093561475,0.0112941194312992,0.00906102998619595,0.763192849294598,0.331877677437748,0.180781279910495,0.243270679658888,0.194540347494384
"24","M19348",69,3,0.199852355466219,0.172160109179381,0.199852355466219,0.199852355466219,0.199852355466219,0.735690235690236,0.615053987899418,0.735690235690236,0.735690235690236,0.735690235690236
"25","M14258",272,3,0.0352068185173726,0.0591615183399548,0.0684116592150746,0.0686016780260591,0.0669990712011174,0.798794959796229,1.36434285972147,1.57499888161855,1.58834400768815,1.54139978611564
"26","Q9145",106,4,0.0572507336633229,0.0572924176419509,0.0809746830230182,0.0571654509715197,0.0673414609540066,0.868265644426026,0.86815796948388,1.21488839624472,0.867114310022333,1.01292551658675
"27","Y9195",34,6,0.127164435348973,0.0678717573060108,0.0360750773457007,0.0342482325491061,0.0351612163421692,5.04752982225195,2.79269915509234,1.51702460446372,1.44290261130995,1.47996360788683
"28","Y9762",15,6,0.0246434802265819,0.0154886998292754,0.0246434802265819,0.0246459018782422,0.0246446910513325,0.632166412988331,0.401342546855695,0.632166412988331,0.632227529259974,0.632196971124154
"29","Y4511",40,6,0.0877390597125332,0.0392883827409418,0.0277822276102472,0.0285620594348032,0.0281723698957205,4.07241605185134,1.85314064337639,1.2721935257873,1.30604747318848,1.28912049948789
"30","M20454",69,3,0.401445467966818,0.690284348411415,0.135630087760668,0.639291416102917,0.434563849627355,0.59945813668939,1.34218399433536,0.187282016439908,1.16030958041638,0.664525908343066
"31","D1336",4197,1,0.0315418111888224,0.0314196321496945,0.0315418111888224,0.0315426297879283,0.0315422204882929,1.40044829536419,1.39511335409313,1.40044829536419,1.40048403743113,1.40046616639766
"32","Y7074",40,6,0.12436331294484,0.172584023893131,0.311317824497274,0.100172516902513,0.212936227470653,5.09047738763653,7.86380270647369,15.8154138383754,4.25630475408279,10.0358592962291
"33","Q10870",66,4,0.0635242359911298,0.0850683239264061,0.116323934027241,0.111234534808097,0.113785283800646,0.787199174600875,1.06476336578237,1.48547685616651,1.41522706242462,1.45035195929557
"34","Y7704",51,6,0.0404649231080481,0.104825818368553,0.251932180627904,0.13977886689286,0.194027367098853,1.91881407592131,4.7889318607292,10.5877220740164,6.26064684904944,8.42418446153291
"35","Q9969",37,4,0.0255145539049766,0.0395319495602785,0.0678626798147147,0.0592274778220826,0.0635566221105687,0.403624804389687,0.635883360158603,1.1157503443766,0.969111287625097,1.04243081600085
"36","M20021",69,3,0.152887945004822,0.0732545917615485,0.293031840900112,0.0889828960353703,0.117631373232988,0.338287227781048,0.155548340412481,0.496283803604067,0.188271814605074,0.23174871452907
"37","M15907",317,3,0.066889357167005,0.052104414250572,0.153286721393474,0.0895265951181632,0.122005932301479,0.0770798530328731,0.0593342681799441,0.188307504649464,0.105084094160508,0.14665274269292
"38","Y7508",20,6,0.0443493119618174,0.129164278075466,0.150301048954019,0.208113513689318,0.178478085079644,2.11870503597122,5.88232171751421,6.79120639404291,9.05562489730534,7.92341564567412
"39","Y7150",20,6,0.0789689101851801,0.124678122609986,0.224008189800471,0.259958322593746,0.241148565244964,3.22483560950936,4.93781496990864,8.41730117332297,9.51875077179819,8.96802597256058
"40","M16960",69,3,0.148622319111919,0.093707098076366,0.0606520318281425,0.0797765751008446,0.0655133108843446,0.972904224729042,0.646423877942721,0.435031942438555,0.559644455127702,0.468720293245696
"41","D1374",3066,1,0.0278858029443837,0.028979933662219,0.0299484468728405,0.0305072931433073,0.0302279273343671,4.76955851765111,4.96072775560023,5.13018866474518,5.22808634738919,5.17913750606718
"42","M18983",69,3,0.194916849436283,0.194375972263606,0.727509734057677,0.194914400865936,0.256246691519213,0.366931216931217,0.365832386315595,0.923647812336242,0.366926182198518,0.441821366313244
"43","M17988",69,3,0.13762661297013,0.082213339863135,0.13762661297013,0.144081444902696,0.140860398541817,0.220322327044025,0.128118341798959,0.220322327044025,0.231731191569918,0.226026759306971
"44","M10196",112,3,0.0315273723384118,0.0130706430434145,0.010909952775107,0.0120489137054929,0.0109021572173308,1.10563534927599,0.463849268090877,0.388221581021769,0.429273983879921,0.388222432971353
"45","M19262",69,3,0.239440525185459,0.197157160592807,0.239440525185459,0.222278533483211,0.230907244744934,0.425925925925926,0.339696870026446,0.425925925925926,0.39027394097751,0.408099933451718
"46","Y4786",20,6,0.0123655433482841,0.0124862685956148,0.0123655433482841,0.0123655438965436,0.0123655436224497,0.390946502057613,0.394693494751827,0.390946502057613,0.390946502057613,0.390946502057613
"47","Y8622",29,6,0.222477644115991,0.130445579315475,0.0839821534601368,0.077237070843718,0.0806033813563203,8.20385695377346,5.05982261098434,3.34497120885675,3.10180898093904,3.2233900948979
"48","M15921",317,3,0.125062474983759,0.124344166530631,0.118090901957305,0.118734167675622,0.118412408068321,1.06742313008131,1.0613271723491,1.01204898835573,1.0172607605314,1.01465487444356
"49","M13386",102,3,0.0278291111726824,0.0152461912184129,0.0340156131250212,0.0189207935731434,0.0252731945899952,0.724591275435045,0.400867854712765,0.883022435285069,0.496924341663885,0.660052570434421
"50","Y5223",20,6,0.0850334481509766,0.0738964526331854,0.0426045709995197,0.0643701343877697,0.0534170515028257,4.21648550724638,3.68724442275359,2.16213768116322,3.2288662581533,2.69550196965826
"51","Y8804",29,6,0.0807316496411773,0.077959040800873,0.0210659638082635,0.114723376581405,0.0529198937723715,2.57189915114659,2.48856375691979,0.679811225139173,3.57138444334739,1.71822236621835
"52","Q6482",67,4,0.0383009803095955,0.0248694663100812,0.0132823561704588,0.0118632746182164,0.012572451551932,1.43526210057,0.941028813750734,0.506645522293346,0.452982210591652,0.479813866442499
"53","Y6732",18,6,0.0201822860826189,0.0180997839510702,0.0201822860826189,0.0201825822838545,0.0201824341832205,1.07207207207207,0.962603904213976,1.07207207207207,1.07208745575546,1.07207976391377
"54","M16864",69,3,0.174504889450089,0.150248033492174,0.174504889450089,0.174510437849597,0.174507663656463,0.23001495796655,0.194905082326867,0.23001495796655,0.230023149724586,0.230019053845568
"55","Y6590",40,6,0.126547020638482,0.0333111902428297,0.0786553453423702,0.0683013282090969,0.0734955652971022,5.59094250159258,1.4259787756949,3.66691194181686,3.14045091910274,3.4036814304598
"56","Q8816",113,4,0.435575830285754,0.425801375428191,0.432067675816057,0.413815903013923,0.423050732719466,6.15204971643419,6.04140034298026,6.13023494124427,5.89869488693674,6.0144649140905
"57","Y5362",40,6,0.0789680026555283,0.0741470205549231,0.123593312654528,0.143523670324483,0.133645462992986,3.59546589018303,3.5795193303609,6.18785832785778,7.32934849970984,6.75860341378381
"58","Y5092",40,6,0.0328827654062352,0.0765145967794429,0.127134814030981,0.127261668248474,0.127198298263611,1.46414461034049,3.60449893781135,6.19759586620083,6.20634188329078,6.20196887474581
"59","Q7548",165,4,0.122571637528683,0.130581663500027,0.123077672775703,0.137893006083062,0.126137379313604,0.607474586675289,0.649547396500635,0.610830961460842,0.688749726709474,0.626324712720626
"60","Y5879",40,6,0.0791339601716788,0.0157306187153481,0.0282245167666117,0.0324983944529553,0.0303642492594016,3.40314603654348,0.700619074840817,1.27346212271111,1.47245579763998,1.37295896017555
"61","M14821",246,3,0.0505873666565095,0.0422680052649905,0.0404679131729743,0.0328639455099498,0.0366546591421234,1.58315155927795,1.32922545504319,1.27392974864028,1.03894467386614,1.15643721125321
