"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","H1",700,24,0.52393164943238,0.781689527867111,0.964200100669472,0.911709667225443,0.2,"24",0.0380766731364145,0.0487525329239687,0.0420351856607339,0.034191784976448,0.0367673858417457,0.573269289123098,0.797763175145511,0.621914626367405,0.528797347332621,0.556100206923782
"2","H2",700,24,0.539842113951013,0.88771383204083,0.961598472965098,0.902163157622233,0,"24",0.0744496769644603,0.0919716338725227,0.068553779828362,0.0798759514871322,0.0789442559588416,1.10919091505452,1.55408996898877,1.02748454350689,1.28094460461767,1.18815166996207
"3","H3",700,24,0.564177745694641,0.858130984698727,0.950183611234517,0.906832429422015,0,"24",0.0543936932268943,0.0897168041886245,0.0549869288370433,0.0637727709308415,0.0559612882765278,0.994992383156064,1.63732452355604,0.906820141848849,1.14136069184815,1.03130544539166
"4","H4",700,24,0.517486943747583,0.779632272873437,0.970237850275579,0.938858727102115,0.5,"24",0.0850366131961132,0.0560355446055252,0.0885028438333133,0.0710114279419231,0.0848676196317317,1.57736838673409,1.11937265855757,1.63007884336577,1.35792309546813,1.57434619214158
"5","H5",700,24,0.547352372485586,0.842161008040235,0.955859545708108,0.944897695825486,0,"24",0.168245606202696,0.243707770100998,0.199518979755295,0.222162530946151,0.168907331791152,2.39155075289037,3.71137740034183,2.91818544833035,3.31478142433609,2.4006516080394
"6","H6",700,24,0.553420855603383,0.78596931902498,0.961656604684471,0.900646846699314,0,"24",0.0317175893698357,0.0308154761095374,0.033308180943945,0.0292049031014608,0.031581309777655,0.95481143038385,0.920642523897811,1.0078121038479,0.869582024246452,0.952063908974217
"7","H7",700,24,0.54528872570109,0.828146972345567,0.960135259142034,0.925911913408471,0,"24",0.0599631904466765,0.0929611133694187,0.0848503991825067,0.0890386367395441,0.0606029953034411,1.19828737931075,2.03341395891178,1.76825937862566,1.90083666876872,1.21258362638975
"8","H8",700,24,0.523626890713438,0.885731749811067,0.979183333811536,0.900066704487994,0,"24",0.0350310645599579,0.0344075420140762,0.0359616895268492,0.0331717859869623,0.03513907417573,0.730092609368191,0.716022801065946,0.751791114537502,0.70227671317582,0.73577672073758
"9","H9",700,24,0.540116862011174,0.918885989810966,0.968014954965974,0.935755241551054,0,"24",0.0278896018657892,0.0197416490593975,0.0253009443073424,0.0164592925450871,0.0313436278769672,0.534533764730007,0.356999893920887,0.480603648488918,0.324401993279939,0.603466261078435
"10","H10",700,24,0.584364723688301,0.788062479296753,0.912069628282596,0.440979217060774,0,"24",0.021735114411673,0.0202920867841092,0.0214503706994541,0.020668922311211,0.0215877794259721,0.92433820329353,0.869771965820096,0.914899488561404,0.883449731319537,0.92470676140607
