"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","M20992",258,12,0.501991898146295,0.958997898850749,0.14526366717741,0.0971249368183689,0,"12",0.117841911786744,0.0739268768391194,0.0755224893636351,0.0619272079409385,0.141466820546832,0.681708224392302,0.410387393057867,0.422216088251146,0.33960473408768,0.83597721069196
"2","M20993",186,12,0.46569923843534,0.984861537611348,0.218689257216292,0.565009744627909,0.85,"12",0.046170477724781,0.0312190741621815,0.0256454060432741,0.0273881209046286,0.0302655657381752,0.80321025676199,0.547967473277883,0.452496368270997,0.482005886274947,0.531962845982857
"3","M20994",186,12,0.691253073753058,0.799105867499809,0.233061908033372,0.503019497208944,0.5,"12",0.132523974684205,0.107065130436861,0.128294468704926,0.117411828976539,0.112920686692892,1.31358946590463,1.08771038742615,1.27798194766158,1.18237749519178,1.13080046992264
"4","M20995",186,12,0.488392462940926,0.982566067451983,0.555518328331286,0.534006502575226,0,"12",0.0312672225075103,0.0346728584505012,0.0324222668210853,0.0334801045154151,0.0192507057177186,0.957623704352658,1.06306773012594,0.993931615068922,1.02676146457179,0.590357193118366
"5","M20996",186,12,0.571475081003023,0.917906517332893,0.228398266784116,0.524589904445623,1,"12",0.0601863686779914,0.0420055158586387,0.053708499082375,0.0469645027166529,0.0580484722751387,1.13831400035812,0.802655269877304,1.02023011553367,0.895251350001194,1.10227162703521
"6","M20997",186,12,0.523173519184441,0.958205719813582,0.323625293458499,0.497045866245625,0.4,"12",0.0460379162621831,0.054470091811384,0.0479277598306535,0.0472559520832632,0.0454541576781221,0.89941699378328,1.05576680084384,0.93500986290139,0.920159188917982,0.890832325316136
"7","M20998",186,12,0.518340626080266,0.955409948219942,0.155625391876728,0.398789436885725,0.3,"12",0.0693612327639711,0.0794699794661068,0.069411755977312,0.0707002020716781,0.0778849603277214,0.868877077001852,1.00365276637701,0.87141925817597,0.889287704759467,0.979294243085736
"8","M20999",186,12,0.468761469515734,0.98909231088457,0.596143392811391,0.450892259712078,1,"12",0.0188967575654912,0.0274440258436101,0.0181799862770069,0.0175616377492975,0.0169008913167153,0.89444124764786,1.31975536088156,0.860667594402528,0.834842858675516,0.800823076783861
"9","M21000",186,12,0.474225135559285,0.984646691211789,0.500722951814456,0.44261546747654,1,"12",0.0190171894525397,0.017615928967169,0.0181977046352098,0.0176895167890382,0.019096002152727,0.955567858960998,0.883722846702549,0.914006713193352,0.888033476457089,0.961589693023178
"10","M21001",186,12,0.463322747075521,0.988360439964809,0.51431045507609,0.431927593381463,1,"12",0.0200154925243652,0.0184767185949702,0.01939958404881,0.0185255288955363,0.0193372198827058,0.965443335468165,0.890392806950056,0.935317812512706,0.892978772114246,0.934259681487732
"11","M21002",186,12,0.520686196687333,0.959496824534174,0.14586005718266,0.38945869220591,1,"12",0.0262653266784959,0.0241399501274921,0.0262091683922177,0.0243845313849143,0.0246901564074715,0.769078677945477,0.708635775980661,0.767516130868776,0.715389724444572,0.724022744800194
"12","M21003",186,12,0.498713645725362,0.977200131790134,0.46171742366797,0.404240025183974,1,"12",0.0241838107807999,0.022945992507353,0.0231231983888385,0.0223457441264585,0.0218598576789559,0.992574679723694,0.942017337621935,0.949370722487202,0.91763895464984,0.897817629789488
"13","M21004",186,12,0.661033121368264,0.858294031419169,0.233927986147802,0.456635887070411,0,"12",0.0272979127609788,0.0455991510941204,0.0289166827838774,0.0355213646048789,0.0207524601650834,0.751404242094738,1.24345772008217,0.795557519315772,0.974342284080642,0.572579970924469
"14","M21005",186,12,0.508824249887207,0.971271218748044,0.393906869439178,0.355472146345769,1,"12",0.0205227339129519,0.0186604078065511,0.0195728751468448,0.0186258393146468,0.0210908934772818,0.895018293041366,0.812843902992124,0.853429022617773,0.81172165024609,0.920767002907386
"15","M21006",186,12,0.490505143377763,0.977733901600217,0.385727902438068,0.360240657029744,1,"12",0.0223457057001956,0.0195433881329696,0.0214807063382276,0.0199982770928607,0.0227542781353607,0.935609246880454,0.81768049497153,0.899057217900587,0.836867754379816,0.953297669017867
"16","M21007",186,12,0.484810434742891,0.978313085580603,0.42514448984499,0.401888759809962,1,"12",0.0196518221961459,0.0231953539695832,0.0234996686690259,0.022986641506124,0.020983935284017,0.877602193821571,1.04076899951732,1.05643517190207,1.03205492489475,0.940422099642712
"17","M21008",186,12,0.846919529060653,0.457383185258199,0.211732414374375,0.53460727233537,0,"12",0.0450480292211616,0.0357256231350886,0.0446701532219163,0.0397806084335795,0.0438434598438265,1.34470678280337,1.05896217049624,1.33303759113859,1.18293587698848,1.30770493432826
"18","M21009",186,12,0.508508466263362,0.951206485550701,0.111618135614672,0.453105416379885,0,"12",0.0886556334720111,0.0636767993213595,0.0800149678262592,0.0701256517798375,0.0826403277833122,1.42576416176237,1.04029063560327,1.29688426984174,1.14353818592223,1.34252554745583
"19","M21010",186,12,0.838171390039826,0.565280777938254,0.228002990127054,0.36465945480315,1,"12",0.0762481516712715,0.0446471151298775,0.0711355697443062,0.0553531885472806,0.0726837723451212,1.57190499507169,0.902824578667812,1.46136364150479,1.12570708586777,1.49496904019331
"20","M21011",186,12,0.848572371712638,0.557199283121934,0.285016131793841,0.414218293453486,1,"12",0.0500770207180314,0.0497662357796611,0.0485418081052209,0.0471565580070459,0.050002719733565,0.769732965861825,0.759380457264313,0.746446766799437,0.721448269931985,0.768916088786427
"21","M21012",186,12,0.803013918141621,0.750491476904422,0.245844842450619,0.384480088036839,1,"12",0.0250729888454087,0.0261840672163454,0.025937916129712,0.0258123545962958,0.0247369555140368,0.711875745637314,0.741666761425712,0.73557534778503,0.731333745402084,0.70194965303546
"22","M21013",186,12,0.798277788602554,0.769422951103721,0.221295460022196,0.374654080273159,1,"12",0.0303560148358665,0.0278487753644999,0.0276831285969445,0.0276132853688802,0.0275786538176675,0.897821182072916,0.819318810892169,0.816618434669247,0.813431063113744,0.813739114826035
"23","M21014",186,12,0.668322793639714,0.829601583053568,0.100007174538935,0.444394706090159,0.3,"12",0.184970105017955,0.138181512544301,0.109603446612006,0.113700108993368,0.166367577411546,1.82480764483169,1.25257552051341,1.01062626047136,1.04474480569919,1.62134432641763
"24","M21015",186,12,0.837974071671472,0.708530146561001,0.100659223619143,0.37838043911425,1,"12",0.0625557545535948,0.0554971131433219,0.0694921032467627,0.0625250511239878,0.0639216985105066,1.57021849928077,1.38653401981969,1.7503636840293,1.5684488519245,1.60582674756788
"25","M21016",186,12,0.83152075288375,0.734880326718239,0.108764082115983,0.379136267624641,1,"12",0.0523711148499464,0.0475094333799556,0.0597918380465339,0.0536744464387747,0.054759642373859,1.34615052780429,1.21650014753428,1.54290550040425,1.37970282396926,1.40975750251884
"26","M21017",186,12,0.589656144583241,0.890929394206043,0.151521547249486,0.421800285456336,0.3,"12",0.0922888154976776,0.0715014559238475,0.096167644612542,0.0838415838125989,0.0876850779931414,1.44807795359833,1.10467496907594,1.51073801661714,1.30638176574298,1.37202386733306
"27","M21018",186,12,0.517372951013505,0.946801997412605,0.0392541980934138,0.416661785560049,1,"12",0.0773584005719951,0.132397235004113,0.0990312131377635,0.115715633318653,0.0924424092130466,1.09597400891123,1.94741184869197,1.42216030488748,1.68087155159691,1.32345506366786
"28","M21019",186,12,0.442849296181102,0.991610044921201,0.098926789725642,0.602515088598204,1,"12",0.0329354667692372,0.021683011602507,0.0204233165691534,0.021050226887118,0.0260201274923509,1.80721340440429,1.19702451670138,1.12810507389276,1.16256479529707,1.43323885378913
"29","M21020",186,12,0.449926204353568,0.98816164824084,0.0856968139646468,0.579820737229699,1,"12",0.0294485090063433,0.0193833599214028,0.0212445271406546,0.020311837832031,0.0229944296303831,1.72596661179353,1.1421558634183,1.25012480552254,1.19614033447042,1.35233844987702
"30","M21021",186,12,0.430095989577365,0.995904791668175,0.0558542105877358,0.389676953500577,1,"12",0.0652789961806116,0.0246021744744021,0.032403013846279,0.0283795660296292,0.0456038812034695,1.5927522852041,0.612707833366104,0.803048431676799,0.705125175487608,1.12365360893413
"31","M21022",186,12,0.628727360897075,0.844985121794177,0.0143273589308678,0.593105692042479,0,"12",0.0417814401771021,0.0197598281934623,0.0318649172660192,0.0242276237807388,0.0376771246746861,1.65717314691045,0.795290982887184,1.27204210820571,0.972004742895431,1.49778043351356
"32","M21023",186,12,0.489760444091554,0.965066387078671,0.0151034930043273,0.596055151823242,1,"12",0.0165727059640928,0.0154863036788139,0.0164588584950268,0.0159715023779387,0.012028815221542,0.982103696199701,0.918259341386204,0.975572625624145,0.946915983505174,0.714803577045728
"33","M21024",186,12,0.702242345787259,0.798928884463388,0.0673953260719673,0.612673079822096,1,"12",0.018664862568892,0.0134266889749323,0.0159668972173609,0.0146370467575837,0.0158094958012747,0.748664951443954,0.539971383727853,0.641658967558929,0.588581846294329,0.634977180151028
"34","M21025",186,12,0.682377071410256,0.879068031902456,0.432062768516204,0.412528905952607,0.15,"12",0.0510163921603453,0.0480133479085679,0.0477851218877812,0.0458874993691998,0.0513158209331306,1.00976636821832,0.948983046884827,0.94405042596224,0.906536912612992,1.01419818532899
"35","M21026",186,12,0.525938302906118,0.949818648250439,0.170647614567884,0.468243309416998,0,"12",0.0356555045512696,0.0278997248952246,0.0332848613503074,0.0301432116232357,0.0269502296860618,1.43775485266234,1.13197867616568,1.34454103501081,1.22070220758645,1.09257359020513
"36","M21027",186,12,0.459075641095366,0.986434537183718,0.228110099950557,0.557307001909312,1,"12",0.0425238411792729,0.010409432831603,0.0274370860407743,0.0178330651730266,0.0338673434047524,2.01880956002668,0.504316312022796,1.31282538017902,0.858571911517407,1.61530674957432
"37","M21028",186,12,0.452177152507456,0.989495138141692,0.250257258104055,0.539452833097871,1,"12",0.046278582426191,0.0436467264417898,0.030880501379371,0.037232986154231,0.0371088814070066,2.13797862757552,2.01953056554756,1.43852067294863,1.7290256192481,1.72300244350947
"38","M21029",186,12,0.517404893233405,0.950555623137875,0.095415480197071,0.548221065867182,1,"12",0.0465893434798004,0.05281463811766,0.0497388144708237,0.0505410879899557,0.03683658151018,1.61696691835003,1.82427352237774,1.72368760045718,1.75008500440875,1.28614589972496
"39","M21030",186,12,0.471915918210981,0.978850295056091,0.180697689193791,0.386040055597987,0.2,"12",0.125973850690014,0.0909827146122272,0.104165377604208,0.0975307973473159,0.102408030214714,2.47018173832391,1.81486331765833,2.06584778270697,1.94035555018265,2.03034107179413
"40","M21031",186,12,0.589652672479352,0.8902200656583,0.186087971953205,0.459730208605433,0,"12",0.140565448885513,0.170563395473104,0.165544966480538,0.167218603993924,0.132039417235925,2.16338032814024,2.57245661220668,2.50641855517317,2.52963365335045,2.04436955289269
"41","M21032",186,12,0.654464238795586,0.851047171894473,0.0721816508068641,0.439846430085231,0,"12",0.203489267410699,0.109706626261538,0.173777156360521,0.142373939265538,0.198037558466525,3.86746576394594,1.96663097775139,3.24199449620834,2.60431273697986,3.75130186989365
"42","M21033",186,12,0.564596935571279,0.858187368545766,0.0791074563219514,0.679931559087196,0,"12",0.356541344263747,0.152786847993627,0.340695434031956,0.237950363660611,0.33397241237952,3.50294737320839,1.6483941661425,3.37335285215092,2.47586895116265,3.31428576049566
"43","M21034",186,12,0.523467599171805,0.94821516862755,0.244430701900572,0.623970807268546,0,"12",0.075582855483908,0.0682810726951763,0.0753996452627357,0.0703993787985539,0.062434836801002,1.65802183148706,1.50479050820354,1.6545814863313,1.54951929481255,1.37083046304685
"44","M21035",186,12,0.772601348916019,0.637830537850509,0.219041502649738,0.572217539963559,0.5,"12",0.138257905694518,0.143658083754879,0.128335631575019,0.125268137333792,0.131953738341051,1.61578461236146,1.65435299007277,1.50521228269052,1.47021137339758,1.55048750642816
"45","M21036",186,12,0.614165974418789,0.903776080495379,0.0961686447331735,0.435829164237216,1,"12",0.063843427183517,0.0616877148954285,0.0650571442380816,0.0591444412761875,0.0655321711906754,0.728872791082451,0.70290337901697,0.743381384797675,0.674131115043529,0.749369536770198
"46","M21037",186,12,0.444354093748896,0.992799947990911,0.32029323928807,0.442772101154499,0.35,"12",0.0359423984277303,0.0363708300222971,0.0182464186134302,0.0269531833285564,0.0254336575737512,1.46787929478493,1.48340026217626,0.753342945926969,1.10598718471091,1.04520739378975
"47","M21038",186,12,0.490388941625017,0.963816395454456,0.0497914674587254,0.569271899922567,0.05,"12",0.0438825534950413,0.0372734192025569,0.048811846138799,0.0429501520246062,0.0339627019997477,1.31762684849173,1.12474453681229,1.46051602069105,1.29067084273299,1.02725470995916
"48","M21039",186,12,0.444934999118855,0.992843259840651,0.346304790618445,0.454102699240635,0.35,"12",0.0352759531595952,0.0141433939734608,0.0183859748147545,0.0158810550076204,0.0245680209241783,1.4459224986198,0.587845812101808,0.761517498615691,0.659674510093724,1.01335215675765
"49","M21040",186,12,0.463839680775944,0.986475470904402,0.435566882497508,0.515499253767101,1,"12",0.0440260324320718,0.0486568898523907,0.0676300882527698,0.0539139730832209,0.0566998244665099,1.04012782731952,1.15165543835457,1.63009629905132,1.28510569633589,1.35549999552318
"50","M21041",186,12,0.455663553977203,0.982152321872401,0.168425784957004,0.414480530783907,0.1,"12",0.080990044631322,0.0784309702834586,0.0533742172615857,0.0634654103216162,0.0536321728357881,1.55521483251935,1.51017129244409,1.04669749369092,1.23629417371267,1.04256272567685
"51","M21042",186,12,0.480284360469349,0.972429818134202,0.0898037741473061,0.562334294723853,0.45,"12",0.0501214072649054,0.0303363780558546,0.0507261125302345,0.0402384901718808,0.0427105491001382,2.30391219802693,1.40858932497988,2.33157588226864,1.86081824523444,1.9720173858465
"52","M21043",186,12,0.482626251976028,0.97085626574878,0.10012394960507,0.568878253752785,0.4,"12",0.0479652515867959,0.0281882827124682,0.0485504799807468,0.0381812538375067,0.0408481578106185,2.20616630746214,1.30894911190005,2.23296697903437,1.76646858532711,1.88684488006178
"53","M21044",186,12,0.613898372746951,0.888776735395689,0.14938001554581,0.445190667379558,0,"12",0.0937662790480559,0.108468671630218,0.0983645995976176,0.103325067359599,0.0885282107672028,2.86231363044673,3.28457395745084,2.99683011445153,3.13862526894689,2.71065024390051
"54","M21045",186,12,0.445262869428034,0.992464674221707,0.354398863919392,0.42685332647126,0.45,"12",0.0271749712843124,0.0186830156788977,0.0185389628206224,0.0185999571440547,0.0189520389527164,0.926904934977787,0.640179736342996,0.635941042444104,0.63806038939355,0.649227640576137
