"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","M10017",511,12,0.370346672348997,0.998245671857839,0.00782750498879015,0.765266541734759,0.6,"12",0.0427175005140521,0.0252862232504312,0.0218142073642719,0.0234435040365346,0.0334151282474685,1.16304642302064,0.696337009355457,0.602675875802257,0.646696968023584,0.914977493486562
"2","M10018",328,12,0.52928296929468,0.941552178677249,0.00701119393276428,0.757112065331472,0,"12",0.026226883687349,0.0283781554481936,0.0167054898041663,0.0215568816864134,0.0261830870470474,0.461203838191808,0.498459021156039,0.295866547402241,0.38044308508125,0.460455789269385
"3","M10019",328,12,0.487861973434985,0.956968964242755,0.00890285172310823,0.781859917575701,0,"12",0.0451655096316908,0.0491657856606219,0.0292821293920834,0.0388867340601563,0.0470141390098205,1.08742977004616,1.18106011904989,0.711681231481304,0.93978376755965,1.13072263876714
"4","M10020",328,12,0.475199495240198,0.963867181498739,0.00201429154764343,0.794268263988038,0,"12",0.035027877174657,0.0390051646514179,0.0185645387100615,0.0285296653336659,0.0366425352521706,0.906245511683414,1.00684936573643,0.485118024644119,0.741018443656301,0.947120498908437
"5","M10021",328,12,0.539888300201155,0.919895954826977,0,0.790910146717749,0,"12",0.0674695886051879,0.0723769028290071,0.052768713396484,0.0623056111331422,0.0672239542383635,1.99194667433889,2.13083900307129,1.57157334599421,1.84510304345999,1.98497946352203
"6","M10022",328,12,0.49980942021226,0.951479380578096,0.0126735094189458,0.769411373689424,0,"12",0.0480942601121207,0.0526861582020976,0.0336859482516481,0.0430741791663735,0.0475729957605366,1.11915244529681,1.22290934817587,0.790486143674386,1.00528863153571,1.10734955311683
"7","M10023",328,12,0.496741569277699,0.953992918163058,0.0184285035148499,0.758343701654468,0,"12",0.0232879797188047,0.0260219295409874,0.00777843652666999,0.0149994530082717,0.0232498223602109,0.542641336131542,0.605426911391286,0.182667573876521,0.351291807192762,0.541765077021621
"8","M10024",328,12,0.482589982669403,0.962874407007003,0.0135177117896523,0.786500566459775,0,"12",0.0225179292723475,0.0279549394308785,0.00946375742834673,0.0178961109218627,0.0220123662748005,0.618205029140853,0.764830661140677,0.262020328480609,0.492857723798939,0.604518564491032
"9","M10025",328,12,0.457514343269692,0.978872293917723,0.0227345436593493,0.767911654167252,0,"12",0.0143542169538131,0.0146470057602044,0.0147579295652382,0.0140896584613991,0.0140234078839638,0.323113665258095,0.329626936845268,0.332334935507265,0.317227187279789,0.315705970084762
"10","M10026",328,12,0.469783160809837,0.968807560399724,0.0127256463662038,0.767404930987557,0,"12",0.0427604623206417,0.0489555392726833,0.0284374257371542,0.0385151090474837,0.0442402367052999,1.0686150586209,1.2191659615228,0.716664400614707,0.964937511008116,1.10465639066156
"11","M10027",328,12,0.552123958616693,0.929962779828413,0.00421825193851255,0.78585819910421,0,"12",0.0369321314616264,0.0350839990296906,0.0219192289081429,0.0261345334289835,0.0355349114300038,0.702208435464557,0.667963847468292,0.421189289372872,0.500684303327986,0.676258563999469
"12","M10028",328,12,0.49124720900357,0.954912578198957,0.00723521167071217,0.78419522805744,0,"12",0.052407981625141,0.0558566379021823,0.0395252632206853,0.0476542089200942,0.0520956951234403,1.30252677473186,1.38557607196904,0.989798514103587,1.18768729303631,1.29499836583449
"13","M10029",328,12,0.483461015036803,0.965874930076083,0.0216365898151871,0.737520516114276,0,"12",0.04517812004114,0.0471003020098766,0.0353624087554994,0.0411508412092003,0.0450561610200754,1.11385048547211,1.16000146992269,0.876985618327188,1.01701134380722,1.11092361877318
"14","M10030",328,12,0.487846042224159,0.954975954038458,0.00873038108027957,0.796139436558533,0,"12",0.0461577200516109,0.0498522366748534,0.0280964848516219,0.0385080858409865,0.046332769107882,1.1823375532535,1.27428311939336,0.727436411251591,0.990939532050433,1.18670163448982
"15","M10031",328,12,0.487341729010942,0.957708628460318,0.00485175685531503,0.787602326317476,0,"12",0.046536451236755,0.0514906678810083,0.0328586689475115,0.0420267430981776,0.0467265691425276,1.19797241345174,1.32183200959524,0.852689635529925,1.084743236153,1.20273770183515
"16","M10032",328,12,0.482376062687313,0.959062546059706,0.0148812342334459,0.777725885618602,0,"12",0.0398556413030407,0.0436168948029053,0.0222890767966288,0.0326008009824786,0.0407797545491498,0.920933845427392,1.00565954567281,0.520491740253835,0.756652564019745,0.941775343164953
"17","M10033",328,12,0.496055550642911,0.964120819403595,0.0200982256918976,0.737138062009399,0,"12",0.0281889595084123,0.0316950762257281,0.0154785262313323,0.0233190759161158,0.0296761156028757,0.736422893419792,0.826384523195228,0.407508478630446,0.611032351793837,0.774601476323682
"18","M10034",328,12,0.494159533475519,0.957167413006726,0.0190017004574008,0.760017956337798,0,"12",0.0335664455875709,0.0370418071666625,0.0154445848530348,0.0257175329090372,0.0325914369398182,0.783930777747117,0.863409005799933,0.364547848009665,0.603496062899129,0.761585320211047
"19","M10035",328,12,0.47721524942257,0.965288838727074,0.024469855146116,0.779237229183949,0,"12",0.0290518715411842,0.0320247880837472,0.0135484206042894,0.0222607976277956,0.0289641237859439,0.669882939036295,0.737219159007258,0.315286305224929,0.515446367860786,0.667894018532215
"20","M10036",328,12,0.468341407196082,0.974191960245751,0.00419384234892373,0.76030766209067,0,"12",0.0468247975464387,0.0518052163308878,0.0351924696569304,0.0433568999373791,0.0468167024748629,1.15450679712578,1.27358251627902,0.873905863135348,1.07126649608078,1.15431384044811
"21","M10037",328,12,0.470907873677468,0.966448877714159,0.0119359489982119,0.780323048163086,0,"12",0.0594017432005411,0.0610954080679846,0.0442503784832313,0.0526095291762076,0.0603369453602568,1.43242765965352,1.47192457313712,1.07658671610873,1.27369053385294,1.45420427519427
"22","M10038",328,12,0.482064613255297,0.964246880337558,0.00946613931323181,0.77053674706262,0,"12",0.0450620978186538,0.0489686425940782,0.0299676024942268,0.0393500041987784,0.0449529791194175,1.00221416532969,1.08672518004436,0.672458068583045,0.878116747348415,0.999850282234237
"23","M10039",328,12,0.476286783419802,0.962630300747224,0.00605270437908545,0.78844367922135,0,"12",0.0545136314877601,0.0577343155298433,0.039078633479445,0.0482743834783284,0.0551296105846378,1.35212451035471,1.42943964513912,0.978071454167652,1.20174087278017,1.36692349624589
"24","M10040",328,12,0.506564121527407,0.958087884913635,0,0.80361742016759,0,"12",0.0362497993190394,0.0378008831610036,0.0242617956535421,0.0309372512516135,0.0388784426217049,0.876434023456512,0.913170190122221,0.590774347136935,0.750351236968863,0.938561931178977
"25","M10041",328,12,0.470291437382524,0.970948358058254,0.016418995552122,0.76120279932724,0,"12",0.0432366401983292,0.0501177908429237,0.0315007119922148,0.04076041587803,0.0445821657879564,0.986495407468312,1.1389073784236,0.723944480575934,0.931425929499768,1.01638336923835
"26","M10042",328,12,0.465369575884403,0.970455876149228,0.022093276946775,0.753969447782858,0,"12",0.0385669543309945,0.0419371349403487,0.0235950153015747,0.0325092900261616,0.0401076876562548,1.06082144944391,1.15133041330994,0.654869829866471,0.897484002281165,1.10220862270866
