"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Q11336",59,4,0.55152627011149,0.996466683730452,0.0656458636773682,-0.061679396268138,0.8,"4",0.0419809799856157,0.0125376611584814,0.0121459730788057,0.0123417129639555,0.0235168142873811,1.24006890669668,0.37624408713973,0.364770702121621,0.370507394630675,0.701285788213807
"2","Q11337",59,4,0.560492017432875,0.994211959998558,0.442051719229183,-0.167694606541387,1,"4",0.0258989999357096,0.0092660765951291,0.00787522140146264,0.00851934827448284,0.0153543489208902,1.17432446015522,0.42434662794754,0.360404187717064,0.390177530941955,0.701349114011862
"3","Q11338",59,4,0.577138635362387,0.98333593596359,0.106717189751697,-0.0985125164614407,1,"4",0.0421854454455536,0.0101797462505658,0.00919470341489583,0.00968673233037675,0.0274270143008725,1.80379760845595,0.443203106867216,0.4004380551025,0.421820580984859,1.1823597172772
"4","Q11339",59,4,0.601193413785793,0.976247456646195,0.0708423831254338,-0.242541603433025,1,"4",0.0563101538704421,0.0241480784325608,0.0192119220111586,0.0216769473323891,0.0436562101155021,2.24442429995222,0.980878102587401,0.783402078515708,0.882140090551554,1.75230245496074
"5","Q11340",59,4,0.659151467971154,0.942612506345082,0.128516578342818,-0.0978655537438451,0.55,"4",0.0587829939120908,0.0368601651002585,0.0423429864646278,0.0396131575128027,0.041876765445648,1.50159876342091,0.952148260794339,1.09452960902244,1.02333893490839,1.08281213029599
"6","Q11341",55,4,0.549403916320593,0.999620101472518,0.221665823160091,0.0436012531524841,1,"4",0.0273273341918145,0.00460257025552008,0.0155123445037506,0.0100171086952063,0.0156214977545976,1.30417537936807,0.223146004989064,0.745929231336034,0.483510549091201,0.75103367701988
"7","Q11342",55,4,0.546257752329251,0.999917509264626,0.464577443361982,-0.114051561208174,1,"4",0.0263949897716464,0.00285108067613338,0.00300141802737286,0.0028522304812713,0.0141999982602482,1.21394879363343,0.133014212600348,0.140085967159179,0.133116389862777,0.658392933082525
"8","Q11343",55,4,0.546013651411249,0.999758160318687,0.134238984983222,-0.052448291046019,1,"4",0.0246366587592142,0.0100190027755685,0.0125086150807432,0.0112627768071412,0.0125196857958608,1.15953949576001,0.475870059412897,0.59319567816154,0.53453286878722,0.593673319912516
"9","Q11344",55,4,0.549022721950623,0.999784013586556,0.388866919903641,-0.0351458906906639,1,"4",0.0247644277194708,0.002350348841454,0.0101256472960884,0.00622846387537364,0.0126160433490285,1.13399056379184,0.109278263439446,0.467972179786333,0.288625221612892,0.582029444067094
"10","Q11345",55,4,0.546075513795821,0.999932869718323,0.175758462687847,-0.296482946554302,1,"4",0.0239810012662664,0.00354947519513172,0.00572644529327959,0.00463727625658237,0.0114146362798334,1.10990358876807,0.166138669230742,0.267742971119047,0.216940820174892,0.532085838974556
"11","Q11346",35,4,0.615677623428775,0.999583716454024,0.392201050030898,0.0586255411098302,1,"4",0.0226290034435102,0.00156220151810875,0.00369109433263354,0.00216946535458832,0.0119044922189213,1.15770266919909,0.0807913767829933,0.191632987888243,0.112829668461916,0.613334151624033
"12","Q11347",40,4,0.928925758490792,0.294622765582398,0.0918058200308437,0.49310079974174,0,"4",0.140677142435166,0.197962511841633,0.140679223865768,0.169515796684172,0.137291465272678,3.81546134663342,5.62150751846431,3.81552484885228,4.70954921125171,3.71217597745896
