"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Q17831",31,4,0.770065202293287,0.893640556855152,0.17329049568605,0.184989990395099,0.25,"4",0.153703698376686,0.153703698376686,0.153696229896895,0.153699964144349,0.111922572837442,0.415070564516129,0.415070564516129,0.41504845837898,0.415059511447555,0.294713203557828
"2","Q17832",119,4,0.619585738446194,0.969039123394999,0,0.192768041863656,0,"4",0.068601867054631,0.0496967057339223,0.0524548952405733,0.0510745726869574,0.0699428764621952,1.42818291232267,1.04647383579604,1.10245600297018,1.07446491938311,1.4549799289931
"3","Q17833",119,4,0.46627246643499,0.999463419410107,0.00882504970766729,0.301211828678304,0.3,"4",0.0723532992041427,0.0218398472926165,0.0204209524546076,0.0211291531983918,0.0488252302543491,1.95202616267955,0.608155148667263,0.56787851567797,0.588016832172616,1.3356285274961
"4","Q17834",119,4,0.46464484809539,0.99980125740808,0.0430390455886792,0.200291016264042,0.1,"4",0.0442691143763218,0.0396730249096302,0.0373150049440026,0.038492455133926,0.0107660697568543,1.23796266406343,1.11339145924667,1.04920663742819,1.08129904833743,0.300909608145175
"5","Q17835",119,4,0.487386058015709,0.99682437513867,0.0476503752963106,0.244428019382599,0.45,"4",0.0811112507920655,0.0770010209145996,0.0362807014267427,0.0563781435144434,0.104442612317256,0.844476329292646,0.803585335364552,0.387852381277633,0.595718858321092,1.07296730256593
"6","Q17836",119,4,0.467366502851693,0.999535446220774,0.0206632627736978,0.0320214330525304,0.15,"4",0.0473312766168346,0.0145991857210145,0.0134619811642029,0.00759764300735423,0.0135705942451716,1.39481137198985,0.439677953840642,0.403543131491247,0.22593216373499,0.408732087142167
"7","Q17837",119,4,0.519685954878997,0.997679808904061,0.0249623181868582,0.0911664288675439,0,"4",0.0344147998475142,0.0164632574048094,0.0161092507982154,0.0149957500828683,0.0347419769488831,0.846351066070741,0.405438396021038,0.395183089379933,0.367985755683898,0.863835533771566
"8","Q17838",119,4,0.471787257633192,0.999370025091547,0.0630441296237124,-0.0787420247556002,0.15,"4",0.113800590521214,0.0287744812035517,0.0319955623523862,0.0303724324538367,0.065074386971303,3.4068400991145,0.886496881987024,0.995670087770643,0.941083484878833,1.99451223252259
"9","Q17839",119,4,0.465191248366314,0.99976797175878,0.0943782225793132,0.147964201581179,0.2,"4",0.0132298084652414,0.0371483053205366,0.0243888653281021,0.0306111271880215,0.0506642725232054,0.345778218430704,0.951906519621532,0.63166171766928,0.788660604720547,1.36333109185383
"10","Q17840",103,4,0.723605371029321,0.940211764787534,0.999544207402557,-0.181050944671225,0.05,"4",0.0169462413636876,0.0175996173188501,0.0164890287555514,0.0170627339129653,0.0175704672841461,0.581401589612457,0.473630174291381,0.565471864795581,0.519551019543481,0.603092274063043
"11","Q17841",119,4,0.547845226670485,0.991211963626831,0.840737770026106,-0.103302298007754,0.6,"4",0.0987954416843437,0.0209448744413151,0.0623724884795451,0.04010710202109,0.0916923236885835,3.77074521440753,0.810304033669593,2.4012833640791,1.55239014150848,3.51067413330966
"12","Q17842",103,4,0.556002081789364,0.992806474286716,0.00590292390002634,0.265659443882353,0,"4",0.0846435413266452,0.0622696475697412,0.0483326950536459,0.0553369470100926,0.0903574905497303,1.09765480898184,0.796737079048203,0.613733656941462,0.705235367994832,1.17577180522558
"13","Q17843",119,4,0.466984629321336,0.999497923803128,0,0.2999930553431,0.4,"4",0.0761508085421118,0.0233792951827898,0.0154936327170885,0.0194237541338243,0.0553286772484448,2.09486261236809,0.66446850844841,0.440832296969968,0.552650402709188,1.54053530283798
"14","Q17844",119,4,0.486023593389429,0.996632191152989,0.128035225698717,0.295633803233132,0.5,"4",0.0809222054405164,0.077292300063742,0.0693350275020568,0.0732291974034638,0.10714336143342,0.86873302417895,0.831373420687211,0.748136662529863,0.789755041608537,1.13307720849926
"15","Q17845",119,4,0.532394726633642,0.976459951854626,0.132782974143021,-0.266241076621021,0,"4",0.121918419079388,0.124980424441235,0.135916675731127,0.130363153703349,0.110228011646836,0.463201526829668,0.47581489289064,0.51928460246025,0.497549747675445,0.420390670638907
"16","Q17846",119,4,0.519296192836768,0.997842343967456,0.226103541784559,0.0213303804578721,0,"4",0.0452910296242803,0.0287082170325664,0.0219627016753784,0.023314883652582,0.0208038525560219,1.10904702222169,0.710544111806443,0.54046276311516,0.577372941511159,0.512139194475538
"17","Q17847",119,4,0.487794553771019,0.998453257054478,0.114160316944204,0.0215247149918101,0,"4",0.0761260440671989,0.0225230768437598,0.038033416155106,0.0302435836359949,0.0641552542262093,2.23245685079736,0.682196224472111,1.14027892130186,0.911237572886987,1.89412209689157
"18","Q17848",119,4,0.468922387124298,0.999731710269681,0.00473849218569367,0.282725609534864,0,"4",0.076818837812177,0.0229853786322671,0.0170258176087316,0.0199443826079654,0.042835124671967,1.7769405336902,0.551791733215679,0.407880774847329,0.478758262416291,1.01148485879422
