"","Series","n","tsfeat.Frequency","tsfeat.Entropy","tsfeat.Trend","tsfeat.Season","tsfeat.ACF1","tsfeat.Lambda","tsfeat.Period","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Q1",25,4,0.763212371252165,0.906875572650637,0.0389728542866877,-0.18850554363291,1,"4",0.023771283229344,0.0236822077445867,0.0237945569940692,0.0237265752191968,0.0352857246608677,0.528089341283704,0.526131432794065,0.528609003800329,0.527110387038885,0.778271558023194
"2","Q2",25,4,0.762240241742539,0.89301825248717,0,-0.106667809383364,0,"4",0.020169189886601,0.020169189886601,0.0215016744510956,0.0206988045500277,0.0325244054438331,0.399840970004098,0.399840970004098,0.426112563282722,0.41029740764308,0.64062967708686
"3","Q3",25,4,0.70545478904511,0.958199109930125,0.0382722400371416,-0.123883176410383,0.1,"4",0.0138219901977024,0.0138219901977024,0.0139141295978539,0.0138680620498681,0.0164794110095245,0.273615537918633,0.273615537918633,0.275454266598097,0.274534902258365,0.323477216092523
"4","Q4",25,4,0.727248985862835,0.938761526313639,0,-0.164487425207387,0,"4",0.0122598384211191,0.0190281848296312,0.0126840279603274,0.0139234784457421,0.0221880438750958,0.295724740433615,0.46053813355341,0.305958039054792,0.336070815353217,0.531921766846408
"5","Q5",59,4,0.823177787004953,0.965835986514068,0.92947573827812,-0.117582420352685,0.35,"4",0.169150768925802,0.123946893628604,0.132091677303926,0.127972310204302,0.177371524792154,1.28979258569479,0.993266628716397,1.03325286920324,1.01325974895982,1.35727550082841
"6","Q6",59,4,0.675640631823193,0.968342225403073,0.377321196809948,0.325109431287869,0,"4",0.0225809793243901,0.0198598338782748,0.0123334644990791,0.0160858591362411,0.0201890877458627,1.46662673140839,1.29214929576213,0.80613898913834,1.04914414245023,1.3131780050336
"7","Q7",59,4,0.701557294024438,0.917434604839892,0.0464950202134568,0.0795113626004518,0,"4",0.0147938461351905,0.00898608429568744,0.0186785322101557,0.013521904105144,0.0186074762545092,1.03972645205738,0.633746894968892,1.30942863891396,0.95108430500171,1.30450607679629
"8","Q8",59,4,0.791701190541383,0.954677727596197,0.705237625636751,-0.0586860908374769,1,"4",0.0391947920285412,0.0246977942050733,0.0271222754457401,0.0259072869506172,0.0403754765346029,2.16346336448609,1.37613512652718,1.50754935101538,1.44184223877128,2.22714643870778
"9","Q9",59,4,0.58716546863318,0.986610298720302,0.171906644283519,0.0144475167346448,1,"4",0.0090567034021608,0.00543981924996583,0.00907665992283261,0.00682908824464257,0.0157298168491615,0.447798832768933,0.268770462203005,0.448784886214134,0.337658583191455,0.774824625752117
"10","Q10",59,4,0.637297484476153,0.978521241975491,0.252146597017535,-0.128734640108606,0,"4",0.00605519958771958,0.00512989821010642,0.00599467490998852,0.00371062431971439,0.00511435212049599,0.362267234830955,0.307049499357752,0.358434078050127,0.221593267755002,0.305978848928042
"11","Q11",59,4,0.690310808749324,0.930428391931575,0.271267795673377,0.1433438125185,0,"4",0.0064020895174769,0.0126535290385472,0.00563397015066725,0.00859772740840251,0.00672305144815989,0.375596939044556,0.744141557572385,0.330197814437674,0.504363806085631,0.394400043144336
"12","Q12",59,4,0.763621188474915,0.941743529596313,0.807580349748756,-0.222963011249065,0.8,"4",0.0551150957842678,0.0247605063331008,0.025593965381054,0.0215160021077669,0.0554152560176574,1.22890011103805,0.571331409183405,0.590595443653954,0.498201767600492,1.23851497843029
"13","Q13",59,4,0.544917522672515,0.997222164701849,0.0143324199053501,0.0719108515788137,1,"4",0.0453997444110587,0.0065157075829407,0.00614450875853473,0.00633007911157854,0.027013105786319,1.35930272725351,0.19878788649947,0.187849663379335,0.193318774939403,0.816450425638048
"14","Q14",59,4,0.582490217192936,0.983054490197307,0.0890738849772329,-0.190769913394799,0.9,"4",0.0354085180281508,0.028702867544365,0.0310928813287448,0.0298910176044136,0.0266449302736512,0.791784765458056,0.647677895814784,0.697148265991866,0.672413080903325,0.59940642424975
"15","Q15",59,4,0.719173492556841,0.934305146008142,0.415542587644283,-0.226081699509993,1,"4",0.109903483431765,0.080370946530969,0.0988631070856525,0.0861554893479126,0.10356009083365,1.36158141260379,1.02263136810035,1.23183893480371,1.08853445721734,1.28905321832196
"16","Q16",59,4,0.576557860954372,0.987089981951948,0.109866349615044,-0.329375005197814,0.55,"4",0.125474592573145,0.0725857889482954,0.0458619230889282,0.0335758237009907,0.0957090143038235,2.92170024785281,1.73530948698576,1.15701239416054,0.818148647825512,2.2606744599507
"17","Q17",59,4,0.604040509799014,0.977556917403825,0.0757282379713183,-0.113183991853626,0,"4",0.0295300307245396,0.0145506892492003,0.0185393264171621,0.0165403946648419,0.0248480895087163,1.36775991840688,0.678658308259274,0.86366979231679,0.771164050288032,1.1535571487933
"18","Q18",59,4,0.725514759047339,0.919962766526681,0.543912926351634,-0.0888171384345049,0,"4",0.0756462816715222,0.0714203927482134,0.0524377219494389,0.0603774915176013,0.0614595416666944,1.6843489798328,1.57900684976838,1.17687110755255,1.34427383455685,1.37850469981737
"19","Q19",59,4,0.75090541011297,0.906190158465887,0.126439488325114,-0.108718379201613,0,"4",0.0398442346258959,0.0569022651998687,0.0398955850897176,0.047822365254905,0.042573463414995,1.40561092030103,1.98317805140117,1.4079829967669,1.67775206523016,1.49876373796069
"20","Q20",59,4,0.737994447805207,0.928187991874184,0,-0.0742677248107307,0,"4",0.0277056364498641,0.0262301907487676,0.0262324809602086,0.0262313358536289,0.0260140898576172,1.2239693353243,1.15992970123023,1.16002926998466,1.15997948560744,1.15046195580949
"21","Q21",59,4,0.680492877796691,0.955005040437923,0.150967836407161,-0.102141355793296,1,"4",0.0303465770501656,0.0162810971019158,0.0291801877942213,0.0214942053224542,0.0350703812012887,1.24817695031471,0.674853794419161,1.20158682755035,0.889364011355856,1.43800881201693
"22","Q22",59,4,0.640812289689892,0.948381071047203,0.00380827723277621,-0.125073034258865,0,"4",0.040982183533025,0.0169374584091554,0.0198921495409411,0.0184133711184795,0.031335009593202,1.1902139379,0.495966098147249,0.582404080686872,0.53918508941706,0.914283958158753
"23","Q23",143,4,0.503038521326963,0.997876244187642,0.898889017253854,0.0940909894089172,1,"4",0.0306372235248296,0.00845466909024708,0.016918711962414,0.0126761656374438,0.0257622370353677,1.75465216430591,0.492009721233304,0.978298390663425,0.735154055948363,1.47859979993784
"24","Q24",59,4,0.687195430124725,0.951436374274606,0.449577685459009,-0.408400526959726,1,"4",0.0227659583937341,0.0180370637524312,0.0173826539300756,0.0177061609418902,0.0232035597244291,1.04633191727383,0.832314144862265,0.801297178233149,0.816805661547708,1.06644886239447
