"","Series","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Y11530",0.26277464944744,0.255323255287719,0.262775644238942,0.25905814330921,0.282267999717626,3.06145265461004,2.96171411776942,3.06146605846637,3.0115900881179,3.32697354082286
"2","Y11531",0.228101963979149,0.589042335485908,0.228109039720584,0.383478424687768,0.185916492779594,3.69280752419607,14.1569427099594,3.69293212018057,7.61966168548,2.87324921823785
"3","Y11532",0.157612233007064,0.144997071600398,0.243735505610227,0.164736301617531,0.16831460581301,2.62780698627695,2.39732549120865,4.38233677605777,2.76192716485255,2.83044435492485
"4","Y11533",0.0505972110447001,0.0349289712031465,0.0505959761882666,0.0404643574637508,0.0364664110519124,2.35279734352989,1.60333065003059,2.35274012801131,1.87592070839384,1.68202740812235
"5","Y11534",0.193030359727233,0.193030359727233,0.193066309754432,0.193048334919731,0.205886973505095,4.21293201489751,4.21293201489751,4.21380550015821,4.21336875752786,4.52728038415357
"6","Y11535",0.202739872439064,0.104806286183597,0.202749320609334,0.152601907384927,0.187216090909835,8.5556738667478,4.61888027193541,8.55603577218389,6.58745802205965,7.95563228544806
"7","Y11536",0.177855907714011,0.177855907714011,0.194014124915616,0.185971014644495,0.234605118894222,3.55921884882986,3.55921884882986,3.91946765685495,3.7393432528424,4.85665765563778
"8","Y11537",0.0339157324425314,0.0339157324425314,0.0327246530415006,0.0333196870966916,0.0253889221005098,2.3189180882127,2.3189180882127,2.23821207613701,2.27856508217485,1.73631251936207
"9","Y11538",0.0341429746371329,0.0341429746371329,0.0341428469694876,0.0341429492495461,0.0285511849614436,1.66467215429055,1.66467215429055,1.66467215429055,1.66467215429055,1.38632034959572
"10","Y11539",0.0132574079860223,0.0576637098402945,0.0440123898941489,0.0508644839628393,0.0174787868677891,1.15273775216139,5.15610622148039,3.90698725296065,4.53154673722052,1.50649287746052
"11","Y11540",0.0587610135003637,0.0496737888325729,0.041293502263394,0.0454488773164785,0.0355157017974822,2.28792095046073,1.97829636912359,1.62278695377926,1.79856708927506,1.37989660257154
"12","Y11541",0.133928767964463,0.0873060496642315,0.133927622687267,0.108255430703558,0.141808091299906,3.70956808898931,2.33792927834814,3.70953336932081,2.9451330357023,3.94904851467363
"13","Y11542",0.0870752741587116,0.0840054719218445,0.0870756082745324,0.0855425191153061,0.107565020768573,3.12281337804767,3.00453307874293,3.1228262955129,3.06367968712792,3.92870028540568
"14","Y11543",0.105037413199379,0.212257154755866,0.251642807323616,0.23222567631419,0.165885282814358,2.68960536280257,5.92913791256503,7.24481221168575,6.58697506212539,4.47651090485097
"15","Y11544",0.0204216311111677,0.048517747183073,0.0251079759227203,0.0368826589978672,0.0330122211355697,1.28415364053693,3.12699750132142,1.59663708768879,2.3618172945051,2.10247129660324
"16","Y11545",0.0838384047887844,0.0838534557966596,0.0903314386592079,0.0870805206518131,0.080861527327787,2.27971301225978,2.27971301225978,2.4620730644567,2.37089303835824,2.19521053369479
"17","Y11546",0.0184857616312319,0.00966759890226875,0.00957647340897811,0.00929976055230625,0.0100387079308102,3.33619105939988,1.75403103037332,1.73641495594096,1.68669384273712,1.81949115705384
"18","Y11547",0.0795720617561043,0.0697857873873431,0.0795664831500601,0.0746595940931843,0.0713386237477989,1.62896551142876,1.4293067716649,1.62885253160311,1.529079651634,1.46112301622204
"19","Y11548",0.156962908452312,0.160137795533645,0.156962105995969,0.158551320362047,0.222269247747278,2.60651996683227,2.66408282724445,2.60650544283045,2.63529413503745,3.84301787331373
"20","Y11549",0.604545102782779,0.609535913306045,0.604548653220498,0.60704751191157,0.623890537985685,6.29957617815155,6.3742898290975,6.2996293667799,6.3369595979387,6.5927402576815
"21","Y11550",0.0997551978100143,0.0997551978100143,0.131212851567628,0.115367022810494,0.0723734598426026,1.12641385053084,1.12641385053084,1.45674936202282,1.29158160627683,0.827591650743921
"22","Y11551",0.0177170072356406,0.00643251079512622,0.00800514910572862,0.00592290584232725,0.0446816652951701,0.832852928592342,0.299821139342686,0.373586739523979,0.275791973670851,2.13668265922562
"23","Y11552",0.116777555171275,0.0494250311109506,0.0654517835067309,0.0243740661750023,0.0651463835233886,4.30921052631579,1.84482723201774,2.52695299529673,0.863886333712126,2.44083110200963
"24","Y11553",0.127122458372414,0.127122458372414,0.127122457194329,0.127122457784292,0.111679419115776,2.9972946683689,2.9972946683689,2.9972946683689,2.9972946683689,2.620542883812
"25","Y11554",0.160674133119848,0.116494423726621,0.113821810926047,0.115154066661277,0.127622341936235,4.13586486523419,2.99045892800321,2.9144974596543,2.95247819382876,3.29718798019339
"26","Y11555",0.060371219925851,0.0204567877833927,0.0248837348536272,0.0222716583532432,0.0346776324983023,3.30848896434635,1.11543031921113,1.36960653426494,1.21958165907826,1.91277872064428
"27","Y11556",0.155665729289693,0.129215263145992,0.15566876069401,0.142540396404195,0.133960207857042,4.64390453557162,3.78897016182038,4.6440039817658,4.21648707179309,3.9426618398492
"28","Y11557",0.0438546441678816,0.0958267807697738,0.0924893893841495,0.0941597588061849,0.0798526304517541,2.22961977781255,5.07494914723626,4.88691742013612,4.98093328368619,4.18052175789011
"29","Y11558",0.209144582229434,0.273611930546834,0.209143952321237,0.242094400952863,0.25305484945279,4.42513142788084,6.02707112211813,4.42511642692664,5.22609377452239,5.50043361611644
"30","Y11559",0.00476210508747751,0.0181216608630591,0.00476187862725352,0.00987051410439777,0.013061683079523,0.542857917864698,2.09054413280351,0.542832009407159,1.13179983485489,1.50144733600222
"31","Y11560",0.0574573813690888,0.114256257363174,0.110938362736196,0.0355120032708422,0.0529971234503825,2.34688105726873,4.53199585236622,4.88596220598076,1.43697946735596,2.16649780944295
"32","Y11561",0.0179209145914044,0.0318728944743375,0.027685162924938,0.0297844137600052,0.014450982907479,1.15135254988913,2.08416851441242,1.8010478614655,1.94260818793896,0.927729806012579
"33","Y11562",0.0439251871457135,0.0714020653723415,0.0439252061230956,0.0438623512299513,0.0538619746030761,1.43789537102119,2.41023195101075,1.43789537102119,1.43918869523939,1.7881098700402
"34","Y11563",0.0452929928401999,0.0358760933540462,0.0343468878311404,0.0351118575891434,0.0210839252983845,2.08303822644804,1.67266178327316,1.5983222724881,1.63549202788063,0.971203620336534
"35","Y11564",0.0198146891883563,0.0198146891883563,0.0263485283990006,0.00837804897858706,0.00736852761627163,0.794618484336411,0.794618484336411,1.07591761832927,0.335285842111238,0.294935874151942
"36","Y11565",0.0393872350407085,0.0410496489691153,0.0800839056770098,0.0354236904232166,0.044075785909529,1.37250354435061,1.44877382137174,2.72667286992889,1.2352880521949,1.55518586823083
"37","Y11566",0.190302465808377,0.355785031156063,0.190314262629224,0.277882525577334,0.172185658718578,3.11201680050078,6.47744697602434,3.11223029194077,4.79483863398255,2.78840274034953
"38","Y11567",0.628312953789398,0.862237041614023,0.628326899616198,0.757425492224163,0.60828402000068,2.57643660823957,4.34267348219381,2.57652254925441,3.45959801572411,2.45667740311933
"39","Y11568",0.183081681990368,0.126446990594579,0.12258676321527,0.124509109744527,0.162803558953261,3.11709601873536,1.91984851051306,1.8743881286363,1.89711831957468,2.74114759995601
