"","Series","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Y1",0.0397992558724476,0.0974613308781122,0.123574233585241,0.110364939684841,0.0185627129030803,2.57735685367264,6.10384633117814,7.60410474573003,6.85397553845409,1.22016616702577
"2","Y2",0.242653844160475,0.242653844160475,0.242635423305248,0.242644633781316,0.218838641550736,1.78337754199823,1.78337754199823,1.78321781984929,1.78329768092376,1.57908787196229
"3","Y3",0.0509475892776194,0.0237338046983009,0.024870698361754,0.024302446499042,0.0151013667722842,2.3576512455516,1.14234875444858,1.19807752354788,1.17021313899823,0.71518002338917
"4","Y4",0.03302938739164,0.042981059686014,0.0470216510631248,0.0450038265123086,0.010917789876914,1.53846153846154,2.07063413312629,2.2718908567591,2.17126249494269,0.510634516907976
"5","Y5",0.128115278164091,0.0573147900000479,0.0656247863397176,0.0614575475234064,0.080850643376806,5.52681992337165,2.57854406129805,2.93987913267624,2.75921159698714,3.59055853589872
"6","Y6",0.0739552518768425,0.387979704080845,0.387014188869738,0.387497113176316,0.0534911823358246,2.76630241121273,18.6706853545552,18.6106854499542,18.6406854022547,1.98960256900769
"7","Y7",0.102867577638275,0.601328401005651,0.60053723536089,0.600932947259205,0.138540466337275,4.04537888245754,34.1224983921613,34.0545134830878,34.0885059376246,5.56922331419363
"8","Y8",0.0197920928145771,0.0386971441622561,0.0197898603840364,0.0292996166678068,0.0262718591007124,1.93572718337867,3.82568398436542,1.93550664211832,2.88059531324187,2.57847046842678
"9","Y9",0.0281140275859979,0.0588243626931158,0.163440155840537,0.112936636672068,0.0425758317417304,3.03095179351675,6.45661389978994,19.2122007307649,12.8344073152774,4.62758036259797
"10","Y10",0.0774826673615996,0.185712099332207,0.0774741491642356,0.133177724606045,0.0863984154977246,6.5474912851864,16.6418166261204,6.54674203247362,11.594279329297,7.33638450965855
"11","Y11",0.0188892030791309,0.0466277406497593,0.00511021723224122,0.0258320184140286,0.0309076424027745,2.25853267805262,5.66869405448765,0.610812635666496,3.10900596106013,3.72154380482202
"12","Y12",0.0226408370272319,0.176409397534966,0.16159839482713,0.169036876166522,0.0187847062549947,1.28117453706082,11.2266881870171,10.1938396121453,10.7102638995812,1.07003972765962
"13","Y13",0.0969192101529588,0.0204866419842065,0.0479113423595594,0.0282893706759488,0.032880584665497,2.88739191634828,0.62913063878276,1.51940671272445,0.874036967634226,1.00989737630341
"14","Y14",0.0522936007052693,0.0327291673820216,0.04033379716767,0.0365422607116925,0.0252755718018336,1.82157432258539,1.15497506034476,1.4390517514473,1.29701340589603,0.887531372089919
"15","Y15",0.0911632174571383,0.028576374846337,0.0281602276305568,0.0282586060883456,0.0496883051604091,2.9238003898153,0.938758778579149,0.921062563546179,0.926122680027942,1.63682127063907
"16","Y16",0.185563276096811,0.185563276096811,0.185548001635716,0.185555638839569,0.13913642560398,6.20499704898682,6.20499704898682,6.20453092687807,6.20476398793244,4.74853595116064
"17","Y17",0.0565253091603719,0.0345464754807383,0.0461319972370837,0.0403643332385813,0.0190600236034287,2.05857676369775,1.29633703382924,1.75145858243707,1.52389780813315,0.70614012649673
"18","Y18",0.111838356160441,0.051861933604833,0.0355521779569847,0.0436674869648723,0.0711249599586636,4.29145601617796,2.04114004045201,1.40116527285978,1.72115265665589,2.78125465475346
"19","Y19",0.192978482706499,0.834547524447433,0.192947535734261,0.59397897428079,0.274731828467397,3.01415139442231,21.8770039840637,3.01361233873546,12.4453081613996,4.51755511618805
"20","Y20",0.118034137657131,0.050003750117927,0.11804067459287,0.0833459013153012,0.0932645850950958,4.32084053167859,1.89351737592182,4.32106445375562,3.10729091483872,3.45930104220585
"21","Y21",0.0884239827898327,0.170270913077507,0.0884240517674031,0.122558146976535,0.124533772445985,2.20429335769281,4.62547305232938,2.20429335769281,3.18345083943696,3.24176240695868
"22","Y22",0.155533187016056,0.259913625054149,0.155504758120094,0.209546288693227,0.208993268879988,3.84796953975343,6.87381328056053,3.84720007344691,5.36050667700372,5.3448235894261
"23","Y23",0.281369927725799,0.157546651450558,0.281348394027964,0.221788839925754,0.273720454090427,7.24886566528526,3.79852882853714,7.24821911288833,5.52337397071274,7.02006973397807
"24","Y24",0.160820967340464,0.153429378555485,0.160793941140305,0.0248718595049378,0.169470671469805,4.5827524632386,3.75972005929743,4.58191238220057,0.649818427660737,4.85291733040327
"25","Y25",0.0322310217609591,0.0781531224439915,0.0322376834392486,0.0414902448983101,0.0377089710798657,1.091934365247,2.77492828095551,1.09216071851834,1.42514774170496,1.28873392165231
"26","Y26",0.218482832749575,0.314405956348127,0.218455243045148,0.268045709681463,0.254996080643188,5.28258497425083,8.07095779760272,5.28183404338034,6.67639592049153,6.30015795025882
"27","Y27",0.143633879719771,0.223549076399237,0.143609607477147,0.184657952931081,0.171336627765331,4.23556524245687,6.92023895663837,4.23479233468146,5.57751564565992,5.13370918267985
"28","Y28",0.198359864269191,0.276280307810252,0.198337305246402,0.238363789983636,0.225260050807455,5.85083872585183,8.54535777622059,5.85009918524265,7.19772848073162,6.7483913814916
"29","Y29",0.0796883910272856,0.11716143407924,0.0796785929908966,0.0986486480471718,0.0922232621745379,6.39774593288851,9.60948989000156,6.39692650783517,8.00320819891837,7.45472527165345
"30","Y30",0.015265265137821,0.0673193292054333,0.06476613023156,0.0660437584431616,0.0393358865003726,0.755523238860769,3.46609931839669,3.3289463115017,3.3975228149492,1.98688144065153
