"","Series","sMAPE.Naive2","sMAPE.ARIMA","sMAPE.ETS","sMAPE.ETSARIMA","sMAPE.Legaki","MASE.Naive2","MASE.ARIMA","MASE.ETS","MASE.ETSARIMA","MASE.Legaki"
"1","Y21765",0.375255391934753,0.375255391934753,0.370856630530647,0.373052674323927,0.36797223759064,2.38015251956338,2.38015251956338,2.35521004484351,2.36768128220344,2.33583544311946
"2","Y21766",0.332552909366567,0.332552909366567,0.448037488365497,0.398983390911758,0.356479352399648,0.993023255813954,0.993023255813954,1.49259529937116,1.24280927759255,1.07411644057487
"3","Y21767",0.221055174155694,0.173313129064928,0.176822141330741,0.175059162646898,0.160389545326846,7.50977823532657,6.01012067578423,6.12885242017215,6.06948654797819,5.60319226077064
"4","Y21768",0.153121155329673,0.0138883143543432,0.0181389870023872,0.0133178194435256,0.0614146502237028,2.99302505497756,0.28092047935617,0.376046662282279,0.271642411308497,1.26146633128145
"5","Y21769",0.292606067711707,0.0226683966543988,0.0226606565940261,0.0226645266134498,0.129303603335102,6.66214558143186,0.611326773653996,0.611119838013964,0.61122330583398,3.22009155893549
"6","Y21770",0.1675254078054,0.00801840865983764,0.0227420939876945,0.0145840228736719,0.0761974106446875,3.65072725636921,0.184864882019035,0.533916514559671,0.342321885460314,1.7447468185645
"7","Y21771",0.0332447519480015,0.0332447519480015,0.0332443591939148,0.0332445555709778,0.0404661523984173,2.11864406779661,2.11864406779661,2.11861859803003,2.11863133291332,2.58910145229857
"8","Y21772",0.0325933218431724,0.0325933218431724,0.0325955312554916,0.0325944265499524,0.0387135313319334,1.99026345933562,1.99026345933562,1.99040092515829,1.99033219224696,2.37256738736173
"9","Y21773",0.0249939649128272,0.0249939649128272,0.0235683890474482,0.0242814341591924,0.0300046989900611,1.25679347826087,1.25679347826087,1.18370894242775,1.22025121034431,1.51473912678703
"10","Y21774",0.0320049782935625,0.0320049782935625,0.0320036371246106,0.0320043077093151,0.0423309004743101,1.90362087326944,1.90362087326944,1.90353943359681,1.90358015343312,2.5348582709623
"11","Y21775",0.0233774305945646,0.0233774305945646,0.0257635565578732,0.0243775187484581,0.0324551377779938,2.06953642384106,2.06953642384106,2.28486052576033,2.15970700380384,2.8920282757571
"12","Y21776",0.0302478073563899,0.0315421373550912,0.0302473502180205,0.0297183212937486,0.0302533065620847,1.95209973753281,2.03908998362882,1.95207017978964,1.91829337914791,1.95245710436486
"13","Y21777",0.0213567619111965,0.0213567619111965,0.0213585747150194,0.0213576683137343,0.0244113147148647,1.13505747126437,1.13505747126437,1.13515580130077,1.13510663628257,1.30120668003868
"14","Y21778",0.0331002905308748,0.0331002905308748,0.0319478900686258,0.0325243455824921,0.036664014779579,1.85617860851506,1.85617860851506,1.78940738117024,1.82279299484265,2.06344045410127
"15","Y21779",0.0330604549502411,0.0330604549502411,0.0330604549604521,0.0330604549553466,0.0385825165658284,2.08333333333333,2.08333333333333,2.08333333398954,2.08333333366144,2.43968715680428
"16","Y21780",0.30830424915008,0.410179544794755,0.310469246900313,0.359235905651118,0.314262503198561,3.85755253141457,4.87154282183097,3.87995893252313,4.37575087717705,3.91866488492424
"17","Y21781",0.0400485171991792,0.159269274361612,0.0400560824032243,0.101953062005766,0.142774011166227,0.763609125400987,3.28127696994903,0.763757027296756,2.02251699862289,2.91147631312864
"18","Y21782",0.0805622667326171,0.0104368631942311,0.0805634786714616,0.0426849999863646,0.0398689535049781,3.55122088127982,0.468343624286215,3.55127199530216,1.91654604536824,1.79177877105731
"19","Y21783",0.10984503176105,0.10984503176105,0.109835467577243,0.109840249658304,0.0841500132618267,2.99334272180259,2.99334272180259,2.99309701896481,2.9932198703837,2.32289646320201
"20","Y21784",0.0762451920465499,0.0603782058150209,0.0762464195066604,0.0510462782397432,0.0535122957926504,1.60964653785502,1.29024833142136,1.60967012408233,1.10739658166398,1.14955508187713
"21","Y21785",0.128631526960035,0.0404486900972149,0.128632394885171,0.0825632722732704,0.0813212085318063,3.5979072594651,1.16787513025153,3.59792996948477,2.35889247692481,2.32430030453882
"22","Y21786",0.0785864251704329,0.0785864251704329,0.0785781931642174,0.0785823091591741,0.0349862498962424,1.34115272360274,1.34115272360274,1.34101777962531,1.34108525161403,0.60949236825908
"23","Y21787",0.175364802332071,0.0618036317236811,0.100547282216308,0.0809950954063158,0.092652614365424,4.86353225336276,1.80225294633704,2.87095547291364,2.33660420962534,2.67203828230163
"24","Y21788",0.111635409378928,0.0510469166451282,0.0387628261524169,0.0448863870316838,0.0760953758923231,5.63599052880821,2.6500789266071,2.02666284366312,2.33837088513511,3.91015261195566
"25","Y21789",0.0509830598950688,0.0509830598950688,0.0509754197927792,0.0509792398368086,0.0359412669208042,1.43109878115336,1.43109878115336,1.43089015224476,1.43099446669906,1.01659993880833
"26","Y21790",0.0677573133761827,0.0624859663689823,0.0677552119881453,0.0271069643281843,0.0331465380509637,1.41916912005234,1.35495583907338,1.41912778873257,0.57819757932282,0.696193336884909
"27","Y21791",0.12049088676891,0.427537425707779,0.120483449294937,0.261046973902951,0.103942340139553,3.12093786065723,9.45550628682498,3.12075647634313,6.28813138158406,2.71330322697801
"28","Y21792",0.0894008253896075,0.0894008253896075,0.0894040461653547,0.089402435779565,0.162730960031112,1.45286432160804,1.45286432160804,1.45292003798652,1.45289217979728,2.78681239921131
"29","Y21793",0.0282460988538231,0.0622054049054513,0.0282494761220286,0.029936083432354,0.0391117450439033,0.730273205498047,1.69107415579013,0.730359198155591,0.7886684729926,1.04100856641595
"30","Y21794",0.0476410220044734,0.0476410220044734,0.0476367869139908,0.0476389044559859,0.044693267663949,1.2310522904514,1.2310522904514,1.23094592501046,1.23099910773093,1.1609445058742
"31","Y21795",0.030397727737272,0.0682557742585996,0.0303973163320053,0.027913183497414,0.0383945818632288,0.790394219530336,1.88620762937841,0.79038372478563,0.744178776010595,1.03666164212753
"32","Y21796",0.0537459365324302,0.0178784171922118,0.0537460582508786,0.0356185037307935,0.0361096070832764,3.44653957728968,1.16566514711987,3.44654714991698,2.30610614851842,2.33733115403765
"33","Y21797",0.099111845879312,0.099111845879312,0.0991013914957315,0.0991066186745037,0.0778934281413524,2.14789818082154,2.14789818082154,2.14768273382067,2.14779045732111,1.70500811713342
"34","Y21798",0.0627418991396111,0.198732022023338,0.192701952835933,0.19572305802197,0.180444446481466,1.17200355613028,4.09597510709141,3.95489776825578,4.0254364376736,3.67577842252717
"35","Y21799",0.121064726091797,0.121064726091797,0.121054074073884,0.121059400069461,0.0966401180738274,2.5195305544314,2.5195305544314,2.51932280052751,2.51942667747945,2.03584671358019
"36","Y21800",0.229312496204071,0.10109973916111,0.0479639839900763,0.0741913249699261,0.157188823863477,4.49023782178772,2.12674024482477,1.07848959220715,1.60261491851596,3.20146180199742
"37","Y21801",0.0850269077512842,0.0123147463783342,0.0220852576428404,0.0115728806546689,0.0230602903001273,2.91664421574438,0.443989439107615,0.785709385086339,0.404397374826451,0.830656409041991
"38","Y21802",0.0945261946093209,0.0945261946093209,0.0945169228039458,0.0945215586963715,0.0692824536081304,2.15457122736055,2.15457122736055,2.15436984828562,2.15447053782309,1.59782029205762
"39","Y21803",0.0213437773378974,0.141463869085141,0.0213437772253525,0.0744153539956018,0.0604840141787276,0.336213131352979,2.43504017258432,0.336213131352979,1.22434859294871,0.985536133596977
"40","Y21804",0.133308368860732,0.133308368860732,0.133299572245186,0.13330397054388,0.0988587428237235,2.62593283582089,2.62593283582089,2.62577313435202,2.62585298508646,1.98683707553663
"41","Y21805",0.0315342269537314,0.129329818251282,0.078156814639436,0.103319079042595,0.0850364265325889,0.654773851956951,2.48922033429075,1.54554442964804,2.01554302417045,1.83150936864624
"42","Y21806",0.0524666289373807,0.0300509203045167,0.0660425872020857,0.0482138072296908,0.00571017421796328,2.01248493463951,1.20910720355038,2.69184477465605,1.95047598910321,0.226759750196706
"43","Y21807",0.11661474005783,0.0212369207663927,0.116613376667704,0.0500342557553779,0.0186272495714208,2.67073648239775,0.522597562856703,2.67070724941287,1.18478230800832,0.442517086138783
"44","Y21808",0.089771970675688,0.0198666341486747,0.0113869935294472,0.0127214030125846,0.051087461333194,4.37550200803213,0.989033055303653,0.587071715570813,0.638602933946789,2.53634728701709
"45","Y21809",0.0689647570455974,0.0689647570455974,0.0689582533108153,0.0689615051730951,0.0515713030567433,2.09117503656753,2.09117503656753,2.09098454431523,2.09107979044138,1.57637744953951
"46","Y21810",0.166222312238847,0.166222312238847,0.164766134921194,0.165493978058179,0.10209245056931,1.84709104027286,1.84709104027286,1.83261864006866,1.83985484017076,1.18247895737154
"47","Y21811",0.0715676851497708,0.0202244534330402,0.0715662085079638,0.0334185616806771,0.0279981729646861,2.81776814734561,0.81791776298888,2.81771318605659,1.36394752593712,1.14921785248788
"48","Y21812",0.0770948742889897,0.0770948742889897,0.0770917859217018,0.0770933301041977,0.0448420120146184,1.85882670679244,1.85882670679244,1.85875510263008,1.85879090471126,1.09669234476204
"49","Y21813",0.0643471672797106,0.0569157287695842,0.0974962978762195,0.0774226616752496,0.0345243657517852,1.76152783563927,1.56924375647763,2.77802034255609,2.17363204951686,0.917509439226598
"50","Y21814",0.107733835164419,0.107733835164419,0.107737959560262,0.107735897364589,0.16152810498056,2.11243434395964,2.11243434395964,2.11252042294392,2.11247738345178,3.27719470712668
"51","Y21815",0.0948197259426213,0.0948197259426213,0.0948106026314228,0.0948151642770876,0.0639841448328657,2.60303998956227,2.60303998956227,2.60280136309506,2.60292067632867,1.78142025949726
"52","Y21816",0.0663451718315092,0.136707794555852,0.184997881635197,0.161170631930864,0.0791924600489045,1.07184425206574,2.36278785650351,3.28654873955559,2.82466829802955,1.30072903253281
"53","Y21817",0.0518986432180045,0.0297741406365304,0.0518995760388897,0.016788360350239,0.0157903508137993,1.85807721247902,1.12097972254419,1.85810963286449,0.612018484374422,0.57608449730834
"54","Y21818",0.0831746628616179,0.0202196105065246,0.083168988662336,0.0440030189878644,0.0613677376530058,1.13100055028647,0.285706960124039,1.13092693534749,0.61270242566825,0.844246883528088
